t1,T1,t2,T2
425,374.484358,425,376.0540511
426,374.6095098,426,376.1828207
427,374.7347464,427,376.3114251
428,374.8596802,428,376.4398645
429,374.9846904,429,376.5681393
430,375.1095887,430,376.6962497
431,375.2344309,431,376.824196
432,375.3588643,432,376.9519785
433,375.4831011,433,377.0795975
434,375.6070643,434,377.2070533
435,375.7310427,435,377.3343462
436,375.8550583,436,377.4614764
437,375.9786938,437,377.5884443
438,376.1020233,438,377.7152501
439,376.2254003,439,377.8418941
440,376.3487926,440,377.9683766
441,376.4720263,441,378.0946978
442,376.594887,442,378.2208581
443,376.7175461,443,378.3468577
444,376.839891,444,378.4726969
445,376.9623858,445,378.598376
446,377.0848061,446,378.7238952
447,377.2071027,447,378.8492549
448,377.3290076,448,378.9744552
449,377.4510559,449,379.0994966
450,377.5726141,450,379.2243791
451,377.6942639,451,379.3491031
452,377.8154965,452,379.4736689
453,377.9368415,453,379.5980768
454,378.0577748,454,379.7223269
455,378.1788507,455,379.8464196
456,378.2995228,456,379.970355
457,378.4203149,457,380.0941336
458,378.5406413,458,380.2177554
459,378.6610639,459,380.3412209
460,378.7810862,460,380.4645301
461,378.9012016,461,380.5876835
462,379.0209506,462,380.7106812
463,379.1407618,463,380.8335236
464,379.2602331,464,380.9562108
465,379.3797844,465,381.0787431
466,379.4989123,466,381.2011208
467,379.6180127,467,381.3233442
468,379.7368819,468,381.4454135
469,379.8558589,469,381.5673289
470,379.9743447,470,381.6890907
471,380.0930656,471,381.8106992
472,380.211376,472,381.9321546
473,380.3295684,473,382.0534571
474,380.4476297,474,382.1746071
475,380.5656887,475,382.2956048
476,380.6833256,476,382.4164504
477,380.8011155,477,382.5371442
478,380.9185714,478,382.6576865
479,381.0358961,479,382.7780774
480,381.1530749,480,382.8983172
481,381.2702419,481,383.0184063
482,381.3870188,482,383.1383448
483,381.5039381,483,383.2581329
484,381.6204798,484,383.377771
485,381.73693,485,383.4972593
486,381.8533217,486,383.616598
487,381.9696795,487,383.7357873
488,382.0855442,488,383.8548276
489,382.201568,489,383.9737191
490,382.3171631,490,384.092462
491,382.432833,491,384.2110565
492,382.5483164,492,384.3295029
493,382.6637535,493,384.4478014
494,382.7786874,494,384.5659524
495,382.8939197,495,384.683956
496,383.0087389,496,384.8018124
497,383.1235056,497,384.9195219
498,383.2380697,498,385.0370848
499,383.3527562,499,385.1545012
500,383.4668941,500,385.2717715
501,383.5813031,501,385.3888958
502,383.6952425,502,385.5058743
503,383.8091966,503,385.6227074
504,383.9229824,504,385.7393953
505,384.0367501,505,385.8559381
506,384.1500369,506,385.9723361
507,384.2635841,507,386.0885896
508,384.3767509,508,386.2046988
509,384.4898305,509,386.3206638
510,384.602772,510,386.4364851
511,384.7157373,511,386.5521626
512,384.8282247,512,386.6676968
513,384.9409575,513,386.7830878
514,385.0533056,514,386.8983358
515,385.1655338,515,387.0134412
516,385.2777022,516,387.128404
517,385.3898048,517,387.2432246
518,385.5014763,518,387.3579031
519,385.6133306,519,387.4724399
520,385.7248731,520,387.586835
521,385.8364093,521,387.7010888
522,385.9476438,522,387.8152014
523,386.0589687,523,387.9291732
524,386.1697918,524,388.0430042
525,386.2808562,525,388.1566948
526,386.3914794,526,388.2702451
527,386.5021779,527,388.3836554
528,386.612676,528,388.4969259
529,386.7233409,529,388.6100568
530,386.8332731,530,388.7230483
531,386.9436571,531,388.8359007
532,387.0534077,532,388.9486142
533,387.1634011,533,389.061189
534,387.2729069,534,389.1736253
535,387.3827588,535,389.2859233
536,387.4918583,536,389.3980833
537,387.6014424,537,389.5101054
538,387.7104378,538,389.6219899
539,387.8196207,539,389.733737
540,387.9284631,540,389.845347
541,388.0375063,541,389.9568199
542,388.1458561,542,390.0681561
543,388.2546739,543,390.1793557
544,388.3629003,544,390.290419
545,388.4713531,545,390.4013462
546,388.5792846,546,390.5121375
547,388.6874988,547,390.622793
548,388.7950252,548,390.7333131
549,388.9030758,549,390.8436979
550,389.0104682,550,390.9539477
551,389.1180027,551,391.0640625
552,389.2252039,552,391.1740428
553,389.3326649,553,391.2838886
554,389.439398,554,391.3936001
555,389.5465927,555,391.5031777
556,389.6532553,556,391.6126214
557,389.7601287,557,391.7219315
558,389.868421,558,391.8311082
559,389.9761294,559,391.9401517
560,390.082771,560,392.0490622
561,390.1897075,561,392.1578399
562,390.2958605,562,392.266485
563,390.4021363,563,392.3749978
564,390.5080216,564,392.4833784
565,390.6142216,565,392.591627
566,390.7196167,566,392.699744
567,390.825375,567,392.8077294
568,390.9304925,568,392.9155835
569,391.0357694,569,393.0233065
570,391.1407371,570,393.1308987
571,391.2459884,571,393.2383603
572,391.3505672,572,393.3456914
573,391.4555677,573,393.4528923
574,391.5599878,574,393.5599632
575,391.6644872,575,393.6669042
576,391.768664,576,393.7737156
577,391.8732036,577,393.8803977
578,391.9770605,578,393.9869505
579,392.081311,579,394.0933742
580,392.1848624,580,394.1996692
581,392.2886025,581,394.3058355
582,392.3920932,582,394.4118733
583,392.4958259,583,394.5177829
584,392.5988808,584,394.6235644
585,392.7023498,585,394.7292181
586,392.8052619,586,394.834744
587,392.9083206,587,394.9401424
588,393.0109804,588,395.0454136
589,393.1139224,589,395.1505575
590,393.2161808,590,395.2555746
591,393.3188675,591,395.3604648
592,393.4210564,592,395.4652285
593,393.5233264,593,395.5698658
594,393.6253261,594,395.6743769
595,393.7274585,595,395.778762
596,393.8289855,596,395.8830212
597,393.9309345,597,395.9871547
598,394.0323661,598,396.0911628
599,394.1338912,599,396.1950456
600,394.2351447,600,396.2988032
601,394.3366565,601,396.402436
602,394.4375183,602,396.5059439
603,394.5386553,603,396.6093273
604,394.6393014,604,396.7125864
605,394.740128,605,396.8157212
606,394.8405609,606,396.9187319
607,394.9411458,607,397.0216188
608,395.0411746,608,397.1243821
609,395.1416387,609,397.2270218
